customer_id,signup_date,region,acquisition_channel
237,2026-01-21,Centro,Pagado
238,2026-02-23,Centro,Pagado
239,2025-09-07,Norte,Organico
240,2025-12-05,Sur,Pagado
241,2025-08-02,Centro,Pagado
242,2025-08-15,Sur,Organico
243,2026-02-01,Centro,Referido
244,2025-10-31,Centro,Pagado
245,2025-12-24,Norte,Pagado
246,2026-01-01,Sur,Pagado
247,2025-10-21,Centro,Pagado
248,2026-02-22,Centro,Pagado
249,2025-08-20,Sur,Referido
250,2025-08-01,Centro,Organico
251,2025-11-07,Norte,Pagado
252,2026-03-29,Centro,Organico
253,2025-10-08,Norte,Pagado
254,2026-03-23,Centro,Referido
255,2025-11-12,Sur,Pagado
256,2025-11-06,Norte,Referido
257,2025-10-14,Centro,Pagado
258,2025-12-25,Sur,Organico
259,2025-11-03,Norte,Referido
260,2026-03-14,Centro,Organico
261,2026-03-24,Centro,Organico
262,2026-01-01,Norte,Referido
263,2026-03-21,Norte,Organico
264,2026-03-12,Norte,Pagado
265,2026-01-15,Centro,Organico
266,2025-11-25,Centro,Pagado
267,2025-08-01,Norte,Referido
268,2026-01-18,Norte,Pagado
269,2026-03-06,Sur,Organico
270,2025-09-04,Sur,Organico
271,2025-12-29,Centro,Pagado
272,2026-01-18,Norte,Pagado
273,2026-02-23,Centro,Referido
274,2025-12-16,Centro,Referido
275,2026-03-10,Centro,Organico
276,2025-12-09,Centro,Organico
277,2025-09-20,Centro,Organico
278,2025-12-12,Centro,Pagado
279,2026-03-20,Sur,Referido
280,2026-01-21,Centro,Organico
281,2025-12-04,Centro,Pagado
282,2026-01-10,Centro,Organico
283,2025-11-20,Centro,Organico
284,2026-02-02,Sur,Referido
285,2025-09-05,Centro,Referido
286,2026-02-22,Centro,Organico
287,2025-12-28,Norte,Organico
288,2026-01-17,Centro,Pagado
289,2025-10-24,Centro,Pagado
290,2026-01-17,Centro,Pagado
291,2025-12-21,Sur,Pagado
292,2025-10-20,Centro,Pagado
293,2025-09-22,Centro,Organico
294,2025-09-01,Centro,Pagado
295,2025-11-10,Centro,Pagado
296,2025-08-31,Norte,Referido
297,2026-02-09,Centro,Organico
298,2026-03-24,Centro,Pagado
299,2025-12-24,Norte,Organico
300,2025-09-25,Centro,Organico
